
# Surface 0 of 1 surfaces

# Curve title: "(30*1000+50*y + 8.314*2.30*y*x) / 1000"

# IsoCurve 0, 50 points
# x y z type
2.0000000e+02 -2.0000000e+01 -4.7488800e+01 i
2.1630612e+02 -2.0000000e+01 -5.3724979e+01 i
2.3261224e+02 -2.0000000e+01 -5.9961157e+01 i
2.4891837e+02 -2.0000000e+01 -6.6197336e+01 i
2.6522449e+02 -2.0000000e+01 -7.2433515e+01 i
2.8153061e+02 -2.0000000e+01 -7.8669693e+01 i
2.9783673e+02 -2.0000000e+01 -8.4905872e+01 i
3.1414286e+02 -2.0000000e+01 -9.1142051e+01 i
3.3044898e+02 -2.0000000e+01 -9.7378230e+01 i
3.4675510e+02 -2.0000000e+01 -1.0361441e+02 i
3.6306122e+02 -2.0000000e+01 -1.0985059e+02 i
3.7936735e+02 -2.0000000e+01 -1.1608677e+02 i
3.9567347e+02 -2.0000000e+01 -1.2232294e+02 i
4.1197959e+02 -2.0000000e+01 -1.2855912e+02 i
4.2828571e+02 -2.0000000e+01 -1.3479530e+02 i
4.4459184e+02 -2.0000000e+01 -1.4103148e+02 i
4.6089796e+02 -2.0000000e+01 -1.4726766e+02 i
4.7720408e+02 -2.0000000e+01 -1.5350384e+02 i
4.9351020e+02 -2.0000000e+01 -1.5974002e+02 i
5.0981633e+02 -2.0000000e+01 -1.6597620e+02 i
5.2612245e+02 -2.0000000e+01 -1.7221237e+02 i
5.4242857e+02 -2.0000000e+01 -1.7844855e+02 i
5.5873469e+02 -2.0000000e+01 -1.8468473e+02 i
5.7504082e+02 -2.0000000e+01 -1.9092091e+02 i
5.9134694e+02 -2.0000000e+01 -1.9715709e+02 i
6.0765306e+02 -2.0000000e+01 -2.0339327e+02 i
6.2395918e+02 -2.0000000e+01 -2.0962945e+02 i
6.4026531e+02 -2.0000000e+01 -2.1586562e+02 i
6.5657143e+02 -2.0000000e+01 -2.2210180e+02 i
6.7287755e+02 -2.0000000e+01 -2.2833798e+02 i
6.8918367e+02 -2.0000000e+01 -2.3457416e+02 i
7.0548980e+02 -2.0000000e+01 -2.4081034e+02 i
7.2179592e+02 -2.0000000e+01 -2.4704652e+02 i
7.3810204e+02 -2.0000000e+01 -2.5328270e+02 i
7.5440816e+02 -2.0000000e+01 -2.5951888e+02 i
7.7071429e+02 -2.0000000e+01 -2.6575505e+02 i
7.8702041e+02 -2.0000000e+01 -2.7199123e+02 i
8.0332653e+02 -2.0000000e+01 -2.7822741e+02 i
8.1963265e+02 -2.0000000e+01 -2.8446359e+02 i
8.3593878e+02 -2.0000000e+01 -2.9069977e+02 i
8.5224490e+02 -2.0000000e+01 -2.9693595e+02 i
8.6855102e+02 -2.0000000e+01 -3.0317213e+02 i
8.8485714e+02 -2.0000000e+01 -3.0940831e+02 i
9.0116327e+02 -2.0000000e+01 -3.1564448e+02 i
9.1746939e+02 -2.0000000e+01 -3.2188066e+02 i
9.3377551e+02 -2.0000000e+01 -3.2811684e+02 i
9.5008163e+02 -2.0000000e+01 -3.3435302e+02 i
9.6638776e+02 -2.0000000e+01 -3.4058920e+02 i
9.8269388e+02 -2.0000000e+01 -3.4682538e+02 i
9.9900000e+02 -2.0000000e+01 -3.5306156e+02 i

# IsoCurve 1, 50 points
# x y z type
2.0000000e+02 -1.9200000e+01 -4.4389248e+01 i
2.1630612e+02 -1.9200000e+01 -5.0375980e+01 i
2.3261224e+02 -1.9200000e+01 -5.6362711e+01 i
2.4891837e+02 -1.9200000e+01 -6.2349443e+01 i
2.6522449e+02 -1.9200000e+01 -6.8336174e+01 i
2.8153061e+02 -1.9200000e+01 -7.4322906e+01 i
2.9783673e+02 -1.9200000e+01 -8.0309637e+01 i
3.1414286e+02 -1.9200000e+01 -8.6296369e+01 i
3.3044898e+02 -1.9200000e+01 -9.2283100e+01 i
3.4675510e+02 -1.9200000e+01 -9.8269832e+01 i
3.6306122e+02 -1.9200000e+01 -1.0425656e+02 i
3.7936735e+02 -1.9200000e+01 -1.1024330e+02 i
3.9567347e+02 -1.9200000e+01 -1.1623003e+02 i
4.1197959e+02 -1.9200000e+01 -1.2221676e+02 i
4.2828571e+02 -1.9200000e+01 -1.2820349e+02 i
4.4459184e+02 -1.9200000e+01 -1.3419022e+02 i
4.6089796e+02 -1.9200000e+01 -1.4017695e+02 i
4.7720408e+02 -1.9200000e+01 -1.4616368e+02 i
4.9351020e+02 -1.9200000e+01 -1.5215042e+02 i
5.0981633e+02 -1.9200000e+01 -1.5813715e+02 i
5.2612245e+02 -1.9200000e+01 -1.6412388e+02 i
5.4242857e+02 -1.9200000e+01 -1.7011061e+02 i
5.5873469e+02 -1.9200000e+01 -1.7609734e+02 i
5.7504082e+02 -1.9200000e+01 -1.8208407e+02 i
5.9134694e+02 -1.9200000e+01 -1.8807081e+02 i
6.0765306e+02 -1.9200000e+01 -1.9405754e+02 i
6.2395918e+02 -1.9200000e+01 -2.0004427e+02 i
6.4026531e+02 -1.9200000e+01 -2.0603100e+02 i
6.5657143e+02 -1.9200000e+01 -2.1201773e+02 i
6.7287755e+02 -1.9200000e+01 -2.1800446e+02 i
6.8918367e+02 -1.9200000e+01 -2.2399119e+02 i
