
# Surface 0 of 1 surfaces

# Curve title: "(30*1000+50*y + 8.314*2.30*y*x) / 1000"

# IsoCurve 0, 50 points
# x y z type
2.0000000e+02 -1.0000000e+01 -8.7444000e+00 i
2.1630612e+02 -1.0000000e+01 -1.1862489e+01 i
2.3261224e+02 -1.0000000e+01 -1.4980579e+01 i
2.4891837e+02 -1.0000000e+01 -1.8098668e+01 i
2.6522449e+02 -1.0000000e+01 -2.1216757e+01 i
2.8153061e+02 -1.0000000e+01 -2.4334847e+01 i
2.9783673e+02 -1.0000000e+01 -2.7452936e+01 i
3.1414286e+02 -1.0000000e+01 -3.0571025e+01 i
3.3044898e+02 -1.0000000e+01 -3.3689115e+01 i
3.4675510e+02 -1.0000000e+01 -3.6807204e+01 i
3.6306122e+02 -1.0000000e+01 -3.9925293e+01 i
3.7936735e+02 -1.0000000e+01 -4.3043383e+01 i
3.9567347e+02 -1.0000000e+01 -4.6161472e+01 i
4.1197959e+02 -1.0000000e+01 -4.9279562e+01 i
4.2828571e+02 -1.0000000e+01 -5.2397651e+01 i
4.4459184e+02 -1.0000000e+01 -5.5515740e+01 i
4.6089796e+02 -1.0000000e+01 -5.8633830e+01 i
4.7720408e+02 -1.0000000e+01 -6.1751919e+01 i
4.9351020e+02 -1.0000000e+01 -6.4870008e+01 i
5.0981633e+02 -1.0000000e+01 -6.7988098e+01 i
5.2612245e+02 -1.0000000e+01 -7.1106187e+01 i
5.4242857e+02 -1.0000000e+01 -7.4224276e+01 i
5.5873469e+02 -1.0000000e+01 -7.7342366e+01 i
5.7504082e+02 -1.0000000e+01 -8.0460455e+01 i
5.9134694e+02 -1.0000000e+01 -8.3578544e+01 i
6.0765306e+02 -1.0000000e+01 -8.6696634e+01 i
6.2395918e+02 -1.0000000e+01 -8.9814723e+01 i
6.4026531e+02 -1.0000000e+01 -9.2932812e+01 i
6.5657143e+02 -1.0000000e+01 -9.6050902e+01 i
6.7287755e+02 -1.0000000e+01 -9.9168991e+01 i
6.8918367e+02 -1.0000000e+01 -1.0228708e+02 i
7.0548980e+02 -1.0000000e+01 -1.0540517e+02 i
7.2179592e+02 -1.0000000e+01 -1.0852326e+02 i
7.3810204e+02 -1.0000000e+01 -1.1164135e+02 i
7.5440816e+02 -1.0000000e+01 -1.1475944e+02 i
7.7071429e+02 -1.0000000e+01 -1.1787753e+02 i
7.8702041e+02 -1.0000000e+01 -1.2099562e+02 i
8.0332653e+02 -1.0000000e+01 -1.2411371e+02 i
8.1963265e+02 -1.0000000e+01 -1.2723180e+02 i
8.3593878e+02 -1.0000000e+01 -1.3034988e+02 i
8.5224490e+02 -1.0000000e+01 -1.3346797e+02 i
8.6855102e+02 -1.0000000e+01 -1.3658606e+02 i
8.8485714e+02 -1.0000000e+01 -1.3970415e+02 i
9.0116327e+02 -1.0000000e+01 -1.4282224e+02 i
9.1746939e+02 -1.0000000e+01 -1.4594033e+02 i
9.3377551e+02 -1.0000000e+01 -1.4905842e+02 i
9.5008163e+02 -1.0000000e+01 -1.5217651e+02 i
9.6638776e+02 -1.0000000e+01 -1.5529460e+02 i
9.8269388e+02 -1.0000000e+01 -1.5841269e+02 i
9.9900000e+02 -1.0000000e+01 -1.6153078e+02 i

# IsoCurve 1, 50 points
# x y z type
2.0000000e+02 -9.6000000e+00 -7.1946240e+00 i
2.1630612e+02 -9.6000000e+00 -1.0187990e+01 i
2.3261224e+02 -9.6000000e+00 -1.3181356e+01 i
2.4891837e+02 -9.6000000e+00 -1.6174721e+01 i
2.6522449e+02 -9.6000000e+00 -1.9168087e+01 i
2.8153061e+02 -9.6000000e+00 -2.2161453e+01 i
2.9783673e+02 -9.6000000e+00 -2.5154819e+01 i
3.1414286e+02 -9.6000000e+00 -2.8148184e+01 i
3.3044898e+02 -9.6000000e+00 -3.1141550e+01 i
3.4675510e+02 -9.6000000e+00 -3.4134916e+01 i
3.6306122e+02 -9.6000000e+00 -3.7128282e+01 i
3.7936735e+02 -9.6000000e+00 -4.0121648e+01 i
3.9567347e+02 -9.6000000e+00 -4.3115013e+01 i
4.1197959e+02 -9.6000000e+00 -4.6108379e+01 i
4.2828571e+02 -9.6000000e+00 -4.9101745e+01 i
4.4459184e+02 -9.6000000e+00 -5.2095111e+01 i
4.6089796e+02 -9.6000000e+00 -5.5088476e+01 i
4.7720408e+02 -9.6000000e+00 -5.8081842e+01 i
4.9351020e+02 -9.6000000e+00 -6.1075208e+01 i
5.0981633e+02 -9.6000000e+00 -6.4068574e+01 i
5.2612245e+02 -9.6000000e+00 -6.7061939e+01 i
5.4242857e+02 -9.6000000e+00 -7.0055305e+01 i
5.5873469e+02 -9.6000000e+00 -7.3048671e+01 i
5.7504082e+02 -9.6000000e+00 -7.6042037e+01 i
