
# Surface 0 of 1 surfaces

# Curve title: ""tmp-torm_contourtmp0.dat""

# Contour 0, label:    4e+03
-500 -417.408  4000 
-463.977 -450  4000 
-450 -464.058  4000 
-417.84 -500  4000 

 412.611  500  4000 
 450  458.696  4000 
 458.746  450  4000 
 500  413.064  4000 


# Contour 1, label:    3e+03
-500 -312.268  3000 
-450 -347.168  3000 
-446.38 -350  3000 
-400 -390.847  3000 
-390.907 -400  3000 
-350 -447.104  3000 
-347.764 -450  3000 
-313.249 -500  3000 

 308.02  500  3000 
 342.535  450  3000 
 350  440.473  3000 
 385.679  400  3000 
 400  385.772  3000 
 441.15  350  3000 
 450  343.156  3000 
 500  309.019  3000 


# Contour 2, label:    2e+03
-500 -207.128  2000 
-450 -230.275  2000 
-414.701 -250  2000 
-400 -259.249  2000 
-350 -296.563  2000 
-346.02 -300  2000 
-300 -346.427  2000 
-296.964 -350  2000 
-260.17 -400  2000 
-250 -416.444  2000 
-231.553 -450  2000 
-208.66 -500  2000 

 203.429  500  2000 
 226.324  450  2000 
 250  407.821  2000 
 254.939  400  2000 
 291.733  350  2000 
 300  340.439  2000 
 340.791  300  2000 
 350  292.165  2000 
 400  255.883  2000 
 409.474  250  2000 
 450  227.615  2000 
 500  204.972  2000 


# Contour 3, label:    1e+03
-500 -101.986  1000 
-450 -113.384  1000 
-400 -127.651  1000 
-350 -146.024  1000 
-340.792 -150  1000 
-300 -170.575  1000 
-256.247 -200  1000 
-250 -205.05  1000 
-205.521 -250  1000 
-200 -256.993  1000 
-171.704 -300  1000 
-150 -344.18  1000 
-147.549 -350  1000 
-129.432 -400  1000 
-115.34 -450  1000 
-104.068 -500  1000 

 98.838  500  1000 
 100  494.338  1000 
 110.111  450  1000 
 124.201  400  1000 
 142.32  350  1000 
 150  332.385  1000 
 166.474  300  1000 
 200  250.359  1000 
 200.291  250  1000 
 250  200.806  1000 
 251.017  200  1000 
 300  167.627  1000 
 335.563  150  1000 
 350  143.859  1000 
 400  125.993  1000 
 450  112.074  1000 
 500  100.925  1000 


# Contour 4, label:        0
 500 -3.1214  0 
 450 -3.46622  0 
 400 -3.89667  0 
 350 -4.44922  0 
 300 -5.18436  0 
 250 -6.21051  0 
 200 -7.74313  0 
 150 -10.2799  0 
 100 -15.2888  0 
 50 -29.8178  0 
 28.7624 -50  0 
 13.0738 -100  0 
 7.84437 -150  0 
 5.22952 -200  0 
 3.66067 -250  0 
 2.61477 -300  0 
 1.8677 -350  0 
 1.30738 -400  0 
 0.871586 -450  0 
 0.522952 -500  0 

-5.75248  500  0 
-6.10113  450  0 
-6.53692  400  0 
-7.09722  350  0 
-7.84431  300  0 
-8.89021  250  0 
-10.4592  200  0 
-13.0739  150  0 
-18.3033  100  0 
-33.9919  50  0 
-50  33.1086  0 
-100  16.1098  0 
-150  10.6446  0 
-200  7.9482  0 
-250  6.3418  0 
-300  5.27552  0 
-350  4.5162  0 
-400  3.94795  0 
-450  3.50672  0 
-500  3.15422  0 


# Contour 5, label:   -1e+03
 500 -107.168 -1000 
 450 -119.007 -1000 
 400 -133.786 -1000 
 356.479 -150 -1000 
 350 -152.756 -1000 
 300 -177.997 -1000 
 266.707 -200 -1000 
 250 -213.227 -1000 
 212.842 -250 -1000 
 200 -265.846 -1000 
 176.933 -300 -1000 
 151.283 -350 -1000 
 150 -352.942 -1000 
 132.046 -400 -1000 
 117.084 -450 -1000 
 105.114 -500 -1000 

-110.343  500 -1000 
-122.313  450 -1000 
-137.276  400 -1000 
-150  365.466 -1000 
-156.512  350 -1000 
-182.162  300 -1000 
-200  272.888 -1000 
-218.072  250 -1000 
-250  217.734 -1000 
-271.936  200 -1000 
-300  181.126 -1000 
-350  155.056 -1000 
-361.71  150 -1000 
-400  135.547 -1000 
-450  120.399 -1000 
-500  108.295 -1000 


# Contour 6, label:   -2e+03
 500 -211.215 -2000 
 450 -234.548 -2000 
 422.024 -250 -2000 
 400 -263.676 -2000 
 351.25 -300 -2000 
 350 -301.063 -2000 
 300.698 -350 -2000 
 300 -350.807 -2000 
 262.786 -400 -2000 
 250 -420.245 -2000 
 233.296 -450 -2000 
 209.705 -500 -2000 

-214.934  500 -2000 
-238.525  450 -2000 
-250  429.127 -2000 
-268.014  400 -2000 
-300  356.976 -2000 
-305.927  350 -2000 
-350  305.596 -2000 
-356.48  300 -2000 
-400  267.147 -2000 
-427.256  250 -2000 
-450  237.29 -2000 
-500  213.436 -2000 


# Contour 7, label:   -3e+03
 500 -315.261 -3000 
 450.114 -350 -3000 
 450 -350.088 -3000 
 400 -393.564 -3000 
 393.522 -400 -3000 
 350 -449.371 -3000 
 349.507 -450 -3000 
 314.295 -500 -3000 

-319.525  500 -3000 
-350  456.136 -3000 
-354.737  450 -3000 
-398.753  400 -3000 
-400  398.745 -3000 
-450  354.181 -3000 
-455.345  350 -3000 
-500  318.576 -3000 


# Contour 8, label:   -4e+03
 500 -419.307 -4000 
 465.72 -450 -4000 
 450 -465.629 -4000 
 418.886 -500 -4000 

-424.116  500 -4000 
-450  471.072 -4000 
-470.949  450 -4000 
-500  423.717 -4000 

